Event,Date,White,Black,Result,WhiteElo,BlackElo,ECO,SpeedChess
Opera Euro Rapid Prelim,2021-02-07,Dominguez Perez,So,1-0,2758,2770,C67,1
Opera Euro Rapid Prelim,2021-02-07,Duda,MVL,1/2-1/2,2743,2784,D97,1
Opera Euro Rapid Prelim,2021-02-07,Grischuk,Carlsen,1/2-1/2,2777,2862,B30,1
Opera Euro Rapid Prelim,2021-02-07,Giri,Ding Liren,1-0,2764,2791,C77,1
Opera Euro Rapid Prelim,2021-02-07,Nepo,Radjabov,1/2-1/2,2789,2765,B32,1
Opera Euro Rapid Prelim,2021-02-07,Nakamura,Vidit,1/2-1/2,2736,2726,A01,1
Opera Euro Rapid Prelim,2021-02-07,Dubov,Vidit,0-1,2710,2726,C28,1
Opera Euro Rapid Prelim,2021-02-07,Radjabov,Nakamura,1/2-1/2,2765,2736,D37,1
Opera Euro Rapid Prelim,2021-02-07,Ding Liren,Nepo,1/2-1/2,2791,2789,E60,1
Opera Euro Rapid Prelim,2021-02-07,Carlsen,Giri,1/2-1/2,2862,2764,A13,1
Opera Euro Rapid Prelim,2021-02-07,MVL,Grischuk,1/2-1/2,2784,2777,C67,1
Opera Euro Rapid Prelim,2021-02-07,So,Duda,1-0,2770,2743,D35,1
Opera Euro Rapid Prelim,2021-02-07,Aronian,Dominguez Perez,1-0,2781,2758,B40,1
